Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
39,Alex Caruso,SG,31,OKC,15,0,353,55,115,.478,33,74,.446,22,41,.537,.622,22,27,.815,6,39,45,31,21,7,14,31,165,carusal01
40,Stephon Castle,PG,21,SAS,23,23,760,136,296,.459,35,100,.350,101,196,.515,.519,111,136,.816,33,83,116,141,21,8,80,89,418,castlst01
41,Julian Champagnie,SF,24,SAS,23,23,705,87,196,.444,61,154,.396,26,42,.619,.599,23,30,.767,21,110,131,36,30,12,13,51,258,champju02
42,Sidy Cissoko,SF,21,POR,4,0,26,4,10,.400,2,5,.400,2,5,.400,.500,1,1,1.000,2,3,5,1,4,0,1,4,11,cissosi01
43,Jaylen Clark,SG,24,MIN,6,0,57,3,12,.250,2,8,.250,1,4,.250,.333,2,2,1.000,2,5,7,3,1,1,0,6,10,clarkja02
44,Jordan Clarkson,SG,33,NYK,18,0,195,35,77,.455,4,19,.211,31,58,.534,.481,15,19,.789,18,13,31,11,4,1,16,25,89,clarkjo01
45,Donovan Clingan,C,21,POR,5,5,107,14,46,.304,5,25,.200,9,21,.429,.359,2,4,.500,14,25,39,11,1,3,3,14,35,clingdo01
46,Amir Coffey,SG,28,PHO,4,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,0,0,coffeam01
47,Mike Conley,PG,38,MIN,12,5,168,19,38,.500,13,26,.500,6,12,.500,.671,2,2,1.000,1,14,15,32,8,0,5,15,53,conlemi01
48,Cade Cunningham,PG,24,DET,14,14,572,127,294,.432,41,102,.402,86,192,.448,.502,99,115,.861,13,59,72,105,15,8,79,43,394,cunnica01
49,Tristan Da Silva,SF,24,ORL,7,0,107,11,29,.379,5,16,.313,6,13,.462,.466,2,4,.500,7,13,20,1,1,0,5,8,29,dasiltr01
50,Pacôme Dadiet,SG,20,NYK,7,0,40,8,16,.500,3,8,.375,5,8,.625,.594,1,2,.500,2,5,7,3,2,0,2,1,20,dadiepa01
51,Dyson Daniels,SG,22,ATL,6,6,166,18,41,.439,4,14,.286,14,27,.519,.488,4,6,.667,9,28,37,30,11,2,11,12,44,daniedy01
52,JD Davison,PG,23,HOU,2,0,5,0,0,,0,0,,0,0,,,2,2,1.000,0,2,2,0,0,0,2,0,2,davisjd01
53,Mohamed Diawara,SF,20,NYK,6,0,43,3,13,.231,1,6,.167,2,7,.286,.269,0,0,,1,8,9,6,1,0,3,3,7,diawamo01
54,Gradey Dick,SG,22,TOR,3,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,dickgr01
55,Donte DiVincenzo,SG,29,MIN,4,4,96,16,32,.500,11,23,.478,5,9,.556,.672,0,2,.000,0,15,15,16,7,0,4,10,43,divindo01
56,Luguentz Dort,SF,26,OKC,15,15,335,30,82,.366,20,65,.308,10,17,.588,.488,2,4,.500,10,30,40,20,7,2,8,40,82,dortlu01
57,Ayo Dosunmu,SG,26,MIN,10,4,292,57,114,.500,17,40,.425,40,74,.541,.575,25,27,.926,7,29,36,41,9,4,15,28,156,dosunay01
58,Andre Drummond,C,32,PHI,11,1,142,16,23,.696,4,8,.500,12,15,.800,.783,7,10,.700,12,35,47,7,4,2,9,27,43,drumman01
59,Ryan Dunn,SF,23,PHO,4,0,34,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,6,6,2,0,0,3,2,0,dunnry01
60,Kevin Durant,SF,37,HOU,1,1,41,7,12,.583,1,4,.250,6,8,.750,.625,8,9,.889,2,4,6,4,1,1,9,4,23,duranke01
61,Jalen Duren,C,22,DET,14,14,422,56,109,.514,0,0,,56,109,.514,.514,31,46,.674,46,73,119,30,9,17,32,48,143,durenja01
62,Tari Eason,PF,24,HOU,6,4,195,31,65,.477,10,30,.333,21,35,.600,.554,11,13,.846,12,28,40,10,15,4,5,22,83,easonta01
63,VJ Edgecombe,SG,20,PHI,11,11,407,60,145,.414,21,72,.292,39,73,.534,.486,13,18,.722,23,44,67,37,11,4,18,29,154,edgecvj01
64,Anthony Edwards,SG,24,MIN,10,8,324,77,180,.428,20,63,.317,57,117,.487,.483,42,51,.824,5,52,57,27,5,7,25,29,216,edwaran01
65,Justin Edwards,SF,22,PHI,9,0,109,11,32,.344,4,18,.222,7,14,.500,.406,4,7,.571,6,14,20,4,0,1,6,15,30,edwarju01
66,Keon Ellis,SG,26,CLE,12,0,89,5,15,.333,5,14,.357,0,1,.000,.500,4,5,.800,3,11,14,3,7,1,6,9,19,elliske01
67,Joel Embiid,C,31,PHI,7,7,233,57,124,.460,5,28,.179,52,96,.542,.480,49,59,.831,8,43,51,38,2,6,15,17,168,embiijo01
68,Dorian Finney-Smith,PF,32,HOU,4,0,49,2,14,.143,2,11,.182,0,3,.000,.214,2,2,1.000,1,7,8,1,1,1,2,6,8,finnedo01
