Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
166,Tyrese Proctor,PG,21,CLE,4,0,13,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,1,1,2,0,0,2,1,2,proctty01
167,Neemias Queta,C,26,BOS,7,6,152,25,34,.735,0,0,,25,34,.735,.735,15,19,.789,12,48,60,4,1,6,6,29,65,quetane01
168,Julius Randle,PF,31,MIN,12,12,400,67,172,.390,10,41,.244,57,131,.435,.419,48,65,.738,30,60,90,34,6,1,34,41,192,randlju01
169,Austin Reaves,SG,27,LAL,6,5,221,37,91,.407,9,35,.257,28,56,.500,.456,37,43,.860,3,21,24,35,0,7,27,21,120,reaveau01
170,Paul Reed,C,26,DET,9,0,86,28,42,.667,2,5,.400,26,37,.703,.690,9,12,.750,18,18,36,5,1,6,7,14,67,reedpa01
171,Naz Reid,C,26,MIN,12,0,323,59,122,.484,22,55,.400,37,67,.552,.574,11,17,.647,14,74,88,25,5,4,16,38,151,reidna01
172,Jase Richardson,SG,20,ORL,1,0,3,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,6,richaja02
173,Zaccharie Risacher,SF,20,ATL,3,0,23,5,14,.357,1,5,.200,4,9,.444,.393,0,0,,4,5,9,0,0,0,0,2,11,risacza01
174,Duncan Robinson,SG,31,DET,13,11,383,51,114,.447,41,90,.456,10,24,.417,.627,11,18,.611,4,27,31,30,17,3,13,38,154,robindu01
175,Mitchell Robinson,C,27,NYK,18,0,251,35,52,.673,0,0,,35,52,.673,.673,17,58,.293,47,52,99,7,7,11,8,27,87,robinmi01
176,Marcus Sasser,PG,25,DET,6,0,61,11,23,.478,5,14,.357,6,9,.667,.587,0,0,,3,2,5,3,3,0,2,4,27,sassema01
177,Baylor Scheierman,SG,25,BOS,7,1,99,11,26,.423,8,21,.381,3,5,.600,.577,0,0,,7,13,20,4,6,1,2,8,30,scheiba01
178,Dennis Schröder,PG,32,CLE,17,0,271,32,84,.381,11,33,.333,21,51,.412,.446,19,24,.792,4,21,25,41,6,3,24,24,94,schrode01
179,Alperen Şengün,C,23,HOU,6,6,232,46,99,.465,1,8,.125,45,91,.495,.470,29,42,.690,21,40,61,28,11,8,18,21,122,sengual01
180,Landry Shamet,SG,28,NYK,19,0,310,39,86,.453,29,61,.475,10,25,.400,.622,7,9,.778,5,16,21,14,4,2,8,33,114,shamela01
181,Terrence Shannon Jr.,SG,25,MIN,9,3,203,38,94,.404,8,32,.250,30,62,.484,.447,22,24,.917,5,18,23,12,4,0,8,22,106,shannte01
182,Shaedon Sharpe,SG,22,POR,5,0,67,14,34,.412,3,11,.273,11,23,.478,.456,5,8,.625,3,5,8,3,2,2,0,5,36,sharpsh01
183,Jamal Shead,PG,23,TOR,7,4,224,23,65,.354,14,42,.333,9,23,.391,.462,3,6,.500,3,11,14,35,10,1,14,22,63,sheadja01
184,Reed Sheppard,SG,21,HOU,6,5,192,27,88,.307,16,54,.296,11,34,.324,.398,3,4,.750,1,5,6,28,13,5,12,14,73,sheppre01
185,Max Shulga,SG,23,BOS,2,0,5,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,0,0,0,1,3,shulgma01
186,Marcus Smart,SG,31,LAL,10,10,345,39,99,.394,17,50,.340,22,49,.449,.480,34,43,.791,10,25,35,51,24,10,35,31,129,smartma01
187,Jabari Smith Jr.,PF,22,HOU,6,6,252,33,85,.388,19,51,.373,14,34,.412,.500,20,26,.769,12,39,51,11,6,4,6,17,105,smithja05
188,Nick Smith Jr.,SG,21,LAL,6,0,18,6,14,.429,3,7,.429,3,7,.429,.536,1,2,.500,0,1,1,1,1,1,1,0,16,smithni01
189,Tolu Smith,PF,25,DET,3,0,7,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,2,2,0,1,0,1,0,4,smithto05
190,Jeremy Sochan,PF,22,NYK,8,0,26,7,9,.778,1,2,.500,6,7,.857,.833,5,8,.625,1,4,5,2,1,1,1,2,20,sochaje01
191,Isaiah Stewart,C,24,DET,14,0,165,20,34,.588,4,8,.500,16,26,.615,.647,12,17,.706,13,21,34,3,1,14,9,36,56,stewais01
192,Julian Strawther,SG,23,DEN,2,0,18,2,7,.286,1,3,.333,1,4,.250,.357,1,2,.500,1,2,3,0,0,0,2,2,6,strawju01
193,Max Strus,SF,29,CLE,18,4,481,56,138,.406,38,106,.358,18,32,.563,.543,22,24,.917,28,59,87,38,15,4,24,59,172,strusma01
194,Jalen Suggs,PG,24,ORL,7,7,248,26,87,.299,13,54,.241,13,33,.394,.374,13,14,.929,5,23,28,29,13,4,21,27,78,suggsja01
195,Jae'Sean Tate,SF,30,HOU,5,0,30,3,10,.300,0,4,.000,3,6,.500,.300,4,6,.667,6,4,10,0,1,0,0,8,10,tateja01
196,Jayson Tatum,PF,27,BOS,6,6,218,48,101,.475,19,52,.365,29,49,.592,.569,25,32,.781,6,58,64,41,7,0,17,11,140,tatumja01
197,Garrett Temple,SG,39,TOR,2,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,0,0,0,templga01
198,Dalen Terry,SG,23,PHI,7,0,39,4,13,.308,2,5,.400,2,8,.250,.385,3,7,.429,0,4,4,7,5,0,2,3,13,terryda01
199,Adou Thiero,SF,21,LAL,6,0,34,3,6,.500,0,2,.000,3,4,.750,.500,3,6,.500,5,7,12,1,0,0,4,5,9,thierad01
200,Amen Thompson,PG,23,HOU,6,6,264,42,86,.488,2,8,.250,40,78,.513,.500,29,41,.707,15,27,42,34,12,7,15,19,115,thompam01
201,Ausar Thompson,SF,23,DET,14,14,427,49,97,.505,1,7,.143,48,90,.533,.510,16,31,.516,45,65,110,44,28,25,23,41,115,thompau01
202,Matisse Thybulle,SG,28,POR,4,0,53,2,14,.143,1,11,.091,1,3,.333,.179,2,2,1.000,1,7,8,4,3,3,0,3,7,thybuma01
203,Nae'Qwan Tomlin,PF,25,CLE,7,0,19,4,6,.667,0,0,,4,6,.667,.667,1,2,.500,4,1,5,2,1,0,1,3,9,tomlina01
204,Nikola Topić,PG,20,OKC,9,0,22,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,2,2,3,2,0,2,1,4,topicni01
205,Karl-Anthony Towns,C,30,NYK,19,19,578,103,187,.551,26,57,.456,77,130,.592,.620,70,77,.909,48,153,201,94,24,24,50,77,302,townska01
206,Jaylon Tyson,SG,23,CLE,17,0,216,25,69,.362,9,38,.237,16,31,.516,.428,10,15,.667,13,34,47,22,3,1,11,26,69,tysonja01
207,Jonas Valančiūnas,C,33,DEN,4,0,25,5,7,.714,0,0,,5,7,.714,.714,1,2,.500,3,6,9,1,0,1,5,11,11,valanjo01
208,Jarred Vanderbilt,PF,26,LAL,7,0,75,9,22,.409,1,9,.111,8,13,.615,.432,1,3,.333,5,19,24,2,2,0,1,12,20,vandeja01
209,Devin Vassell,SG,25,SAS,23,23,801,105,243,.432,56,148,.378,49,95,.516,.547,32,39,.821,19,103,122,62,29,17,22,46,298,vassede01
210,Gabe Vincent,PG,29,ATL,6,0,93,8,22,.364,6,18,.333,2,4,.500,.500,4,5,.800,3,0,3,7,2,1,3,10,26,vincega01
211,Nikola Vučević,C,35,BOS,6,0,114,14,37,.378,7,24,.292,7,13,.538,.473,2,4,.500,5,21,26,14,1,3,8,15,37,vucevni01
212,Dean Wade,PF,29,CLE,18,14,407,30,65,.462,18,48,.375,12,17,.706,.600,1,3,.333,24,46,70,14,13,1,10,21,79,wadede01
213,Franz Wagner,SF,24,ORL,4,4,122,25,57,.439,3,9,.333,22,48,.458,.465,14,15,.933,4,18,22,14,11,1,6,8,67,wagnefr01
214,Moritz Wagner,C,28,ORL,2,0,13,1,4,.250,1,1,1.000,0,3,.000,.375,2,2,1.000,1,2,3,0,0,0,1,3,5,wagnemo01
215,Jabari Walker,PF,23,PHI,6,0,29,1,10,.100,0,5,.000,1,5,.200,.100,2,2,1.000,2,4,6,0,0,0,1,3,4,walkeja01
216,Cason Wallace,SG,22,OKC,15,2,374,46,96,.479,30,62,.484,16,34,.471,.635,7,8,.875,20,37,57,36,32,7,11,30,129,wallaca01
217,Keaton Wallace,PG,26,ATL,3,0,15,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,0,3,3,3,1,0,0,1,6,wallake01
218,Jordan Walsh,PF,21,BOS,7,0,89,4,19,.211,2,12,.167,2,7,.286,.263,2,6,.333,6,12,18,7,4,2,0,5,12,walshjo01
219,Ja'Kobe Walter,SG,21,TOR,7,5,224,25,67,.373,17,52,.327,8,15,.533,.500,11,12,.917,2,20,22,10,14,2,4,20,78,walteja01
220,Lindy Waters III,SG,28,SAS,9,0,34,6,13,.462,3,8,.375,3,5,.600,.577,0,0,,3,3,6,4,1,0,1,2,15,waterli01
221,Trendon Watford,PF,25,PHI,7,0,40,7,11,.636,0,1,.000,7,10,.700,.636,6,8,.750,0,3,3,3,3,0,2,2,20,watfotr01
222,Victor Wembanyama,C,22,SAS,22,22,750,176,363,.485,39,114,.342,137,249,.550,.539,133,157,.847,55,184,239,59,21,78,59,55,524,wembavi01
223,Blake Wesley,SG,22,POR,4,0,5,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,1,0,1,weslebl01
224,Derrick White,SG,31,BOS,7,7,251,26,81,.321,15,55,.273,11,26,.423,.414,11,13,.846,10,13,23,22,6,10,11,12,78,whitede01
225,Aaron Wiggins,SG,27,OKC,13,0,75,9,25,.360,1,9,.111,8,16,.500,.380,0,0,,1,4,5,5,1,1,4,4,19,wiggiaa01
226,Amari Williams,PF,24,BOS,1,0,2,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,0,1,0,0,0,0,0,1,william01
227,Jalen Williams,SG,24,OKC,5,4,107,29,56,.518,5,12,.417,24,44,.545,.563,9,12,.750,5,11,16,14,5,2,6,5,72,willija06
228,Jaylin Williams,PF,23,OKC,15,0,240,26,65,.400,18,50,.360,8,15,.533,.538,4,6,.667,7,55,62,22,8,3,6,32,74,willija07
229,Kenrich Williams,PF,31,OKC,11,0,72,12,31,.387,6,19,.316,6,12,.500,.484,4,4,1.000,6,14,20,6,1,0,2,7,34,willike04
230,Robert Williams,C,28,POR,5,0,108,22,35,.629,3,9,.333,19,26,.731,.671,1,3,.333,16,21,37,13,3,6,2,5,48,williro04
