Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
160,Julian Phillips,SF,22,MIN,5,0,25,2.9,8.6,.333,2.9,5.8,.500,0.0,2.9,.000,0.0,0.0,,0.0,1.4,1.4,2.9,2.9,0.0,1.4,1.4,8.6,phillju01
161,Jalen Pickett,SG,26,DEN,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,9.0,18.0,.500,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,pickeja02
162,Mason Plumlee,C,35,SAS,6,0,18,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,0.0,0.0,,0.0,8.0,8.0,4.0,0.0,6.0,2.0,8.0,8.0,plumlma01
163,Jakob Poeltl,C,30,TOR,7,7,134,5.4,8.3,.645,0.0,0.0,,5.4,8.3,.645,2.4,3.8,.643,3.2,8.1,11.3,2.7,1.6,1.6,1.6,5.1,13.2,poeltja01
164,Craig Porter Jr.,PG,25,CLE,7,0,21,1.7,5.1,.333,0.0,1.7,.000,1.7,3.4,.500,0.0,0.0,,0.0,5.1,5.1,6.9,0.0,0.0,6.9,1.7,3.4,portecr01
165,Payton Pritchard,PG,28,BOS,7,0,231,6.1,14.3,.424,2.6,8.6,.309,3.4,5.8,.595,1.1,1.2,.875,1.4,2.6,4.1,5.6,0.5,0.0,0.8,0.8,15.9,pritcpa01
166,Tyrese Proctor,PG,21,CLE,4,0,13,0.0,5.5,.000,0.0,5.5,.000,0.0,0.0,,5.5,5.5,1.000,0.0,2.8,2.8,5.5,0.0,0.0,5.5,2.8,5.5,proctty01
167,Neemias Queta,C,26,BOS,7,6,152,5.9,8.1,.735,0.0,0.0,,5.9,8.1,.735,3.6,4.5,.789,2.8,11.4,14.2,0.9,0.2,1.4,1.4,6.9,15.4,quetane01
168,Julius Randle,PF,31,MIN,12,12,400,6.0,15.5,.390,0.9,3.7,.244,5.1,11.8,.435,4.3,5.9,.738,2.7,5.4,8.1,3.1,0.5,0.1,3.1,3.7,17.3,randlju01
169,Austin Reaves,SG,27,LAL,6,5,221,6.0,14.8,.407,1.5,5.7,.257,4.6,9.1,.500,6.0,7.0,.860,0.5,3.4,3.9,5.7,0.0,1.1,4.4,3.4,19.5,reaveau01
170,Paul Reed,C,26,DET,9,0,86,11.7,17.6,.667,0.8,2.1,.400,10.9,15.5,.703,3.8,5.0,.750,7.5,7.5,15.1,2.1,0.4,2.5,2.9,5.9,28.0,reedpa01
171,Naz Reid,C,26,MIN,12,0,323,6.6,13.6,.484,2.5,6.1,.400,4.1,7.5,.552,1.2,1.9,.647,1.6,8.2,9.8,2.8,0.6,0.4,1.8,4.2,16.8,reidna01
172,Jase Richardson,SG,20,ORL,1,0,3,24.0,24.0,1.000,24.0,24.0,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,richaja02
173,Zaccharie Risacher,SF,20,ATL,3,0,23,7.8,21.9,.357,1.6,7.8,.200,6.3,14.1,.444,0.0,0.0,,6.3,7.8,14.1,0.0,0.0,0.0,0.0,3.1,17.2,risacza01
174,Duncan Robinson,SG,31,DET,13,11,383,4.8,10.7,.447,3.9,8.5,.456,0.9,2.3,.417,1.0,1.7,.611,0.4,2.5,2.9,2.8,1.6,0.3,1.2,3.6,14.5,robindu01
175,Mitchell Robinson,C,27,NYK,18,0,251,5.0,7.5,.673,0.0,0.0,,5.0,7.5,.673,2.4,8.3,.293,6.7,7.5,14.2,1.0,1.0,1.6,1.1,3.9,12.5,robinmi01
176,Marcus Sasser,PG,25,DET,6,0,61,6.5,13.6,.478,3.0,8.3,.357,3.5,5.3,.667,0.0,0.0,,1.8,1.2,3.0,1.8,1.8,0.0,1.2,2.4,15.9,sassema01
177,Baylor Scheierman,SG,25,BOS,7,1,99,4.0,9.5,.423,2.9,7.6,.381,1.1,1.8,.600,0.0,0.0,,2.5,4.7,7.3,1.5,2.2,0.4,0.7,2.9,10.9,scheiba01
178,Dennis Schröder,PG,32,CLE,17,0,271,4.3,11.2,.381,1.5,4.4,.333,2.8,6.8,.412,2.5,3.2,.792,0.5,2.8,3.3,5.4,0.8,0.4,3.2,3.2,12.5,schrode01
179,Alperen Şengün,C,23,HOU,6,6,232,7.1,15.4,.465,0.2,1.2,.125,7.0,14.1,.495,4.5,6.5,.690,3.3,6.2,9.5,4.3,1.7,1.2,2.8,3.3,18.9,sengual01
180,Landry Shamet,SG,28,NYK,19,0,310,4.5,10.0,.453,3.4,7.1,.475,1.2,2.9,.400,0.8,1.0,.778,0.6,1.9,2.4,1.6,0.5,0.2,0.9,3.8,13.2,shamela01
181,Terrence Shannon Jr.,SG,25,MIN,9,3,203,6.7,16.7,.404,1.4,5.7,.250,5.3,11.0,.484,3.9,4.3,.917,0.9,3.2,4.1,2.1,0.7,0.0,1.4,3.9,18.8,shannte01
